lat,lon
19.83419,75.24613
19.83423357142857,75.24613428571428
19.834277142857143,75.24613857142856
19.834320714285713,75.24614285714286
19.834364285714287,75.24614714285714
19.834407857142857,75.24615142857142
19.83445142857143,75.2461557142857
19.834495,75.24616
19.83453857142857,75.24616428571429
19.834582142857144,75.24616857142857
19.834625714285714,75.24617285714285
19.834669285714288,75.24617714285714
19.834712857142858,75.24618142857143
19.83475642857143,75.24618571428572
19.8348,75.24619
19.834843214285716,75.24619428571428
19.83488642857143,75.24619857142856
19.834929642857144,75.24620285714286
19.83497285714286,75.24620714285714
19.835016071428573,75.24621142857143
19.835059285714287,75.24621571428571
19.8351025,75.24622
19.835145714285716,75.24622428571428
19.83518892857143,75.24622857142857
19.835232142857144,75.24623285714286
19.83527535714286,75.24623714285714
19.835318571428573,75.24624142857142
19.835361785714287,75.2462457142857
19.835405,75.24625
19.835448214285716,75.24625428571429
19.83549142857143,75.24625857142857
19.835534642857144,75.24626285714285
19.83557785714286,75.24626714285714
19.835621071428573,75.24627142857142
19.835664285714287,75.24627571428572
19.8357075,75.24628
19.835750714285716,75.24628428571428
19.83579392857143,75.24628857142856
19.835837142857144,75.24629285714285
19.83588035714286,75.24629714285713
19.835923571428573,75.24630142857143
19.835966785714287,75.24630571428571
19.83601,75.24631
19.836054444444446,75.24631333333333
19.83609888888889,75.24631666666666
19.836143333333336,75.24632
19.83618777777778,75.24632333333334
19.836232222222222,75.24632666666666
19.836276666666667,75.24633
19.83632111111111,75.24633333333334
19.836365555555556,75.24633666666666
19.83641,75.24634
19.836454117647058,75.2463455882353
19.83649823529412,75.2463511764706
19.836542352941176,75.24635676470588
19.836586470588237,75.24636235294118
19.836630588235295,75.24636794117647
19.836674705882352,75.24637352941177
19.836718823529413,75.24637911764707
19.83676294117647,75.24638470588236
19.83680705882353,75.24639029411765
19.83685117647059,75.24639588235294
19.83689529411765,75.24640147058824
19.836939411764707,75.24640705882354
19.836983529411764,75.24641264705883
19.837027647058825,75.24641823529413
19.837071764705883,75.24642382352941
19.837115882352943,75.24642941176471
19.83716,75.246435
19.837204117647058,75.2464405882353
19.83724823529412,75.2464461764706
19.837292352941176,75.24645176470588
19.837336470588237,75.24645735294118
19.837380588235295,75.24646294117647
19.837424705882352,75.24646852941177
19.837468823529413,75.24647411764707
19.83751294117647,75.24647970588236
19.83755705882353,75.24648529411765
19.83760117647059,75.24649088235294
19.83764529411765,75.24649647058824
19.837689411764707,75.24650205882354
19.837733529411764,75.24650764705883
19.837777647058825,75.24651323529413
19.837821764705883,75.24651882352941
19.837865882352943,75.24652441176471
19.83791,75.24653
19.83795277777778,75.24653500000001
19.837995555555555,75.24654000000001
19.838038333333333,75.246545
19.838081111111112,75.24655
19.83812388888889,75.246555
19.838166666666666,75.24656
19.838209444444445,75.246565
19.838252222222224,75.24657
19.838295000000002,75.246575
19.838337777777777,75.24658
19.838380555555556,75.246585
19.838423333333335,75.24659
19.83846611111111,75.246595
19.83850888888889,75.2466
19.838551666666667,75.24660499999999
19.838594444444446,75.24660999999999
19.83863722222222,75.24661499999999
19.83868,75.24662
19.838705,75.24661
19.83873,75.2466
19.83875,75.24659
19.838775,75.24659
19.8388,75.24659
19.83884,75.24658666666666
19.83888,75.24658333333333
19.83892,75.24658
19.838953333333336,75.24658666666666
19.838986666666667,75.24659333333334
19.83902,75.2466
19.839058,75.246602
19.839096,75.246604
19.839134,75.246606
19.839172,75.24660800000001
19.83921,75.24661
19.83924,75.24661333333333
19.839270000000003,75.24661666666667
19.8393,75.24662
19.83934,75.246625
19.839380000000002,75.24663
19.83942,75.246635
19.83946,75.24664
19.8395,75.246645
19.83954,75.24665
19.839582222222223,75.24665333333334
19.839624444444443,75.24665666666667
19.839666666666666,75.24666
19.83970888888889,75.24666333333333
19.83975111111111,75.24666666666667
19.839793333333333,75.24667
19.839835555555556,75.24667333333333
19.839877777777776,75.24667666666666
19.83992,75.24668
19.839961666666667,75.24668249999999
19.840003333333332,75.246685
19.840045,75.2466875
19.840086666666668,75.24669
19.840128333333332,75.2466925
19.84017,75.24669499999999
19.84021166666667,75.2466975
19.840253333333333,75.24669999999999
19.840295,75.2467025
19.84033666666667,75.24670499999999
19.840378333333334,75.2467075
19.84042,75.24671
19.840458333333334,75.24672
19.840496666666667,75.24673
19.840535000000003,75.24673999999999
19.840573333333335,75.24674999999999
19.840611666666668,75.24676
19.84065,75.24677
19.840692,75.24677
19.840734,75.24677
19.840775999999998,75.24677
19.840818,75.24677
19.84086,75.24677
19.84086,75.24677
